time,title,description,tags
00:02:37,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua,Gestos,Pulgar Abajo
00:02:40,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua,Gestos,Palma abierta
00:02:46,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua,Gestos,Palma abierta
00:02:51,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua,Gestos,Victoria
00:02:54,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua,Gestos,Palma abierta
00:02:58,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua,Gestos,Pulgar arriba
00:03:01,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua,Gestos,Pulgar Abajo
00:03:04,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua,Gestos,Pulgar arriba
00:03:08,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua,Gestos,Palma abierta
00:03:08,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua,Gestos,Palma abierta
00:03:14,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua,Gestos,Palma abierta
00:03:15,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua,Gestos,Palma abierta
00:03:16,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua,Gestos,Palma abierta
00:03:18,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua,Gestos,Pulgar arriba
00:03:21,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua,Gestos,Palma abierta
00:03:23,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua,Gestos,Palma abierta
00:03:25,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua,Gestos,Palma abierta
00:03:26,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua,Gestos,Pulgar arriba
00:03:27,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua,Gestos,Palma abierta
00:03:30,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua,Gestos,Pulgar Abajo
00:03:31,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua,Gestos,Pulgar arriba
00:03:35,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua,Gestos,Pulgar arriba
00:03:38,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua,Gestos,Palma abierta
00:03:44,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua,Gestos,Palma abierta
00:03:46,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua,Gestos,Palma abierta
00:03:48,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua,Gestos,Palma abierta
00:03:49,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua,Gestos,Pulgar arriba
00:03:49,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua,Gestos,Palma abierta
00:03:51,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua,Gestos,Palma abierta
00:03:52,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua,Gestos,Pulgar arriba
00:03:55,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua,Gestos,Pulgar arriba
00:03:58,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua,Gestos,Pulgar arriba
00:03:59,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua,Gestos,Pulgar arriba
00:04:01,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua,Gestos,Palma abierta
00:04:03,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua,Gestos,Pulgar arriba
00:04:06,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua,Gestos,Palma abierta
00:04:07,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua,Gestos,Pulgar arriba
00:04:09,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua,Gestos,Pulgar arriba
00:04:14,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua,Gestos,Palma abierta
00:04:17,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua,Gestos,Pulgar arriba
00:04:24,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua,Gestos,Pulgar Abajo
00:04:25,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua,Gestos,Palma abierta
00:04:29,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua,Gestos,Palma abierta
00:04:29,12GESTOScorporalesparaEXPONERysermsATRACTIVOLengua,Gestos,Palma abierta
